data_key,data_period,Prorrata
10725,12,0.0
10739,9,0.7
10739,10,0.0
10739,11,0.0
10739,12,0.0
10739,13,0.0
10739,14,0.0
10739,15,0.0
10739,16,0.0
10739,17,0.0
10739,18,0.0
10739,19,6.198155495952945
10767,9,50.73
10767,10,12.419622459238969
10767,11,0.0
10767,12,0.0
10767,13,0.0
10767,14,0.0
10767,15,0.0
10767,16,0.0
10767,17,0.0
10767,18,0.0
10767,19,0.0
10781,9,41.69
10781,10,21.27865816953492
10781,11,8.620858703249484
10781,12,0.0
10781,13,0.0
10781,14,0.0
10781,15,0.0
10781,16,0.0
10781,17,0.0
10781,18,0.0
10781,19,0.0
10795,9,78.2
10795,10,23.22368687528286
10795,11,0.0
10795,12,0.0
10795,13,0.0
10795,14,0.0
10795,15,0.0
10795,16,0.0
10795,17,0.0
10795,18,0.0
10795,19,0.0
10809,9,0.15
10809,10,0.0
10809,11,0.0
10809,12,0.0
10809,13,0.0
10809,14,0.0
10809,15,0.0
10809,16,0.0
10809,17,0.0
10809,18,0.0
10809,19,23.852339972311444
10823,9,8.58
10823,10,0.0
10823,11,0.0
10823,12,0.0
10823,13,0.0
10823,14,0.0
10823,15,0.0
10823,16,0.0
10823,17,0.0
10823,18,0.0
10823,19,0.0
10837,9,13.9
10837,10,1.5734406934064795
10851,9,9.6
10851,10,2.3899056148097424
10865,9,3.857
10865,10,0.0
10865,11,0.0
10865,12,0.0
10865,13,0.0
10865,14,0.0
10865,15,0.0
10865,16,0.0
10865,17,0.0
10865,18,0.0
10865,19,19.764442572111317
10879,9,6.78
10879,10,0.0
10879,11,0.0
10879,12,0.0
10879,13,0.0
10879,14,3.3262660527443755
10879,15,16.396248297801737
10879,16,30.139421696739163
10879,17,36.406651546853766
10879,18,55.10818690009472
10879,19,61.388781801400874
10893,9,0.93
10893,10,0.0
10893,11,0.0
10893,12,0.0
10893,13,0.0
10893,14,0.0
10893,15,0.0
10893,16,0.0
10893,17,0.0
10893,18,10.260150187576128
10893,19,20.842860376125707
10907,9,0.82
10907,10,0.0
10907,11,0.0
10907,12,0.0
10907,13,0.0
10907,14,0.0
10907,15,0.0
10907,16,0.0
10907,17,0.0
10907,18,0.0
10907,19,2.6446926532579735
10921,9,25.75
10921,10,1.9972404407267912
10921,11,0.0
10921,12,0.0
10921,13,0.0
10921,14,0.0
10921,15,11.425790906092613
10921,16,21.458774535510493
10921,17,20.186950920879667
10921,18,27.84116520633374
10921,19,27.224646413738274
10949,9,40.5
10949,10,16.476446434556067
10949,11,5.05991058037451
10949,12,0.0
10949,13,0.0
